items,item_base,item_add,item_length,support,lift
"frozenset({'olive oil', 'whole wheat pasta', 'mineral water'})","frozenset({'whole wheat pasta', 'mineral water'})",frozenset({'olive oil'}),3,0.0038661511798426876,6.115862573099416
"frozenset({'frozen vegetables', 'milk', 'mineral water', 'soup'})","frozenset({'frozen vegetables', 'milk', 'mineral water'})",frozenset({'soup'}),4,0.0030662578322890282,5.484407286136631
"frozenset({'fromage blanc', 'honey'})",frozenset({'fromage blanc'}),frozenset({'honey'}),2,0.003332888948140248,5.164270764485569
"frozenset({'paneer', 'light cream'})",frozenset({'light cream'}),frozenset({'paneer'}),2,0.004532728969470737,4.84395061728395
"frozenset({'escalope', 'pasta'})",frozenset({'pasta'}),frozenset({'escalope'}),2,0.005865884548726837,4.700811850163794
"frozenset({'herb & pepper', 'french fries', 'palak'})","frozenset({'herb & pepper', 'french fries'})",frozenset({'palak'}),3,0.003199573390214638,4.697421981004071
"frozenset({'frozen vegetables', 'shrimp', 'chocolate', 'mineral water'})","frozenset({'frozen vegetables', 'chocolate', 'mineral water'})",frozenset({'shrimp'}),4,0.003199573390214638,4.600899611531385
"frozenset({'frozen vegetables', 'milk', 'olive oil', 'mineral water'})","frozenset({'frozen vegetables', 'milk', 'mineral water'})",frozenset({'olive oil'}),4,0.003332888948140248,4.573557387444516
"frozenset({'shrimp', 'pasta'})",frozenset({'pasta'}),frozenset({'shrimp'}),2,0.005065991201173177,4.506672147735896
"frozenset({'herb & pepper', 'palak', 'chocolate'})","frozenset({'herb & pepper', 'chocolate'})",frozenset({'palak'}),3,0.003999466737768298,4.4901827759597746
"frozenset({'frozen vegetables', 'cake', 'tomatoes'})","frozenset({'frozen vegetables', 'cake'})",frozenset({'tomatoes'}),3,0.0030662578322890282,4.367560314928736
"frozenset({'milk', 'tomatoes', 'soup'})","frozenset({'milk', 'tomatoes'})",frozenset({'soup'}),3,0.0030662578322890282,4.335293378565146
